hours_ahead,abs_error
1,8.824179268203768
2,12.146704661684554
3,16.20816161517705
4,17.99928977318415
5,21.346944695509723
6,24.070470212029427
7,26.90521710172653
8,30.04734139183985
9,32.21047920339818
10,33.4341374713564
11,33.71340618306603
12,35.24101785340472
13,33.65785209263029
14,32.20881297832071
15,30.83472943318383
16,32.57223437951538
17,33.354747018956594
18,34.95682797666043
19,37.43794753304073
20,40.0191647927633
21,40.65325421804533
22,41.06570051867609
23,41.014163032309085
24,41.70642929979789
