hours_ahead,baseline_abs_error
1,1.0305864055299538
2,1.9573948611591196
3,2.9225916109702696
4,10.867432292266914
5,11.68020631627478
6,12.445032853025937
7,13.265208669587272
8,19.62174795341866
9,20.26685885608856
10,20.869437204474686
11,21.525313725490197
12,26.553742069442844
13,27.06048454083987
14,27.524367139725396
15,28.01232517885991
16,32.190006924408536
17,32.57309441366574
18,32.920530993882025
19,33.250843915954746
20,36.648526729015124
21,36.889505773672056
22,37.16819840628248
23,37.3916042966043
24,40.04887720919487
