feature,importance
residual_domestic_load,0.46024984
price,0.13465038
rolling_1w_mean,0.12273975
rolling_24h_mean,0.03172722
rolling_1w_std,0.025259636
month,0.023580568
available_generation_capacity,0.012431292
net_interconnection_balance,0.01239634
hydro_generation_forecast,0.011748127
demand_rolling_1w_mean,0.011188726
interconnection_balance_marruecos,0.010177928
nuclear_generation_forecast,0.009995399
net_demand,0.00971528
wind_generation_forecast,0.009677544
target_weekday,0.008770854
renewable_ratio,0.007981612
hour,0.00754448
interconnection_balance_portugal,0.006083816
demand_lag_1w,0.005959419
demand_rolling_1w_std,0.005805431
solarpv_generation_forecast,0.0051407753
interconnection_balance_francia,0.0050905403
net_interconnection_balance_rolling_24h_mean,0.0046708505
net_interconnection_balance_lag_24h,0.0041930676
target_is_holiday,0.0041369023
demand_rolling_24h_mean,0.003913515
demand_rolling_1w_mean_diff,0.0032689525
interconnection_balance_andorra,0.0031523376
weekday,0.0030819168
mechanism_adjustment_price,0.0028932353
target_hour,0.0027221763
demand_lag_24h,0.0025618721
demand_rolling_24h_std,0.002557863
net_interconnection_balance_rolling_24h_std,0.0024810012
solarth_generation_forecast,0.0023510396
renewable_generation_forecast,0.0023066658
demand_forecast,0.0021556427
rolling_1w_mean_diff,0.0020474088
demand_rolling_24h_mean_diff,0.0019967367
hours_ahead,0.0018271015
lag_48h,0.0017045734
net_interconnection_balance_rolling_24h_mean_diff,0.0016988836
demand_lag_48h,0.0016824811
rolling_24h_mean_diff,0.0014811878
rolling_24h_std,0.001292806
lag_1w,0.0010968946
lag_24h,0.0008098784
