hours_ahead,abs_error
1,16.085351206812582
2,20.641811121196493
3,25.106892761143936
4,26.504870129535405
5,30.17925699082025
6,33.18968708970355
7,35.55223153488571
8,36.600327126007606
9,38.07429553937923
10,39.066511727285004
11,39.48607246072566
12,39.51805216563924
13,39.37286014245353
14,39.413185880863985
15,39.83173460190141
16,40.024195900311895
17,40.75522682661754
18,41.44208383621766
19,42.00783321585365
20,42.78502492317644
21,42.90474262356659
22,42.5142185798669
23,41.50680198089761
24,41.700666999088064
